lat,long,fov,pitch,starthead,endhead,name,buildingLat,buildingLong
52.5192735,13.3736097,50,5,70,120,reichstag,52.5194653,13.3746597
52.5191346,13.3740897,50,5,85,135,reichstag,52.5194653,13.3746597
52.5183419,13.3742058,50,15,15,75,reichstag,52.5194653,13.3746597
52.5198183,13.3780796,40,15,200,220,reichstag,52.5194653,13.3746597
52.5187759,13.4004059,100,20,1,90,berlin_cathedral,52.5187759,13.4004059
52.5196037,13.4021225,60,15,180,220,berlin_cathedral,52.5187759,13.4004059
52.5183296,13.4001951,50,25,50,100,berlin_cathedral,52.5187759,13.4004059
52.518145,13.400798,60,20,1,20,berlin_cathedral,52.5187759,13.4004059
52.5204592,13.4108278,80,45,1,80,tv_tower,52.5202621,13.408632
52.5211971,13.4102872,100,30,205,300,tv_tower,52.5202621,13.408632
52.5214263,13.4079783,90,30,85,165,tv_tower,52.5202621,13.408632
52.5162778,13.3755153,20,5,0,0,brandenburg_gate,52.516273,13.377640
52.51627,13.3772643,120,0,150,195,brandenburg_gate,52.516273,13.377640
52.5158345,13.3772064,60,0,0,0,brandenburg_gate,52.516273,13.377640
52.516357,13.378675,30,10,165,195,brandenburg_gate,52.516273,13.377640
52.5158566,13.3784283,40,0,205,220,brandenburg_gate,52.516273,13.377640
52.5163409,13.3780611,100,0,0,0,brandenburg_gate,52.516273,13.377640